ID,V,ConditionFull,Color,Condition,LowowOrHhigh,ImageFileName,QuestionText,ChartNumber,A,B,C,D,E,QCorrectAnswer,ColorA,ColorB,ColorC,ColorD,ColorE
1,V1,Chart1CL,Congruent,CL,Low,images/Chart1CL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart1,53,62,47,85,71,C,#595959,#595959,#FF0000,#92D050,#595959
2,V1,Chart1CL,Congruent,CL,Low,images/Chart1CL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart1,76,39,62,84,53,B,#595959,#FF0000,#595959,#92D050,#595959
3,V1,Chart4CH,Congruent,CH,High,images/Chart4CH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart4,87,56,79,42,65,A,#92D050,#595959,#595959,#FF0000,#595959
4,V1,Chart10CH,Congruent,CH,High,images/Chart10CH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart10,62,85,48,71,93,E,#595959,#595959,#FF0000,#595959,#92D050
5,V1,Chart7CL,Congruent,CL,Low,images/Chart7CL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart7,45,68,90,59,82,A,#FF0000,#595959,#92D050,#595959,#595959
6,V1,Chart2CH,Congruent,CH,High,images/Chart2CH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart2,40,63,85,54,77,C,#FF0000,#595959,#92D050,#595959,#595959
7,V1,Chart5CL,Congruent,CL,Low,images/Chart5CL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart5,57,80,43,66,88,C,#595959,#595959,#FF0000,#595959,#92D050
8,V1,Chart9CL,Congruent,CL,Low,images/Chart9CL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart9,92,61,84,47,70,D,#92D050,#595959,#595959,#FF0000,#595959
9,V1,Chart3CL,Congruent,CL,Low,images/Chart3CL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart3,64,86,55,78,41,E,#595959,#92D050,#595959,#595959,#FF0000
10,V1,Chart6CH,Congruent,CH,High,images/Chart6CH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart6,81,44,67,89,58,D,#595959,#FF0000,#595959,#92D050,#595959
11,V1,Chart8CH,Congruent,CH,High,images/Chart8CH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart8,69,66,89,83,46,C,#595959,#595959,#92D050,#595959,#FF0000
12,V2,Chart3IL,Incongruent,IL,Low,images/Chart3IL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart3,64,86,55,78,41,E,#595959,#FF0000,#595959,#595959,#595959
13,V2,Chart10IH,Incongruent,IH,High,images/Chart10IH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart10,62,85,48,71,93,E,#595959,#595959,#92D050,#595959,#FF0000
14,V2,Chart5IL,Incongruent,IL,Low,images/Chart5IL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart5,57,80,43,66,88,C,#595959,#595959,#92D050,#595959,#FF0000
15,V2,Chart1IH,Incongruent,IH,High,images/Chart1IH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart1,76,39,62,84,53,D,#595959,#92D050,#595959,#FF0000,#595959
16,V2,Chart8IL,Incongruent,IL,Low,images/Chart8IL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart8,69,66,89,83,46,E,#595959,#595959,#FF0000,#595959,#92D050
17,V2,Chart7IH,Incongruent,IH,High,images/Chart7IH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart7,45,68,90,59,82,C,#92D050,#595959,#FF0000,#595959,#595959
18,V2,Chart2IL,Incongruent,IL,Low,images/Chart2IL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart2,40,63,85,54,77,A,#92D050,#595959,#FF0000,#595959,#595959
19,V2,Chart6IH,Incongruent,IH,High,images/Chart6IH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart6,81,44,67,89,58,D,#595959,#92D050,#595959,#FF0000,#595959
20,V2,Chart4IL,Incongruent,IL,Low,images/Chart4IL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart4,87,56,79,42,65,D,#FF0000,#595959,#595959,#92D050,#595959
21,V2,Chart9IH,Incongruent,IH,High,images/Chart9IH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart9,92,61,84,47,70,A,#595959,#595959,#595959,#595959,#595959
22,V3,Chart7NL,Neutral,NL,Low,images/Chart7NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart7,45,68,90,59,82,C,#595959,#595959,#595959,#595959,#595959
23,V3,Chart5NH,Neutral,NH,High,images/Chart5NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart5,57,80,43,66,88,E,#595959,#595959,#595959,#595959,#595959
24,V3,Chart2NL,Neutral,NL,Low,images/Chart2NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart2,40,63,85,54,77,C,#595959,#595959,#595959,#595959,#595959
25,V3,Chart8NH,Neutral,NH,High,images/Chart8NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart8,69,66,89,83,46,C,#595959,#595959,#595959,#595959,#595959
26,V3,Chart1NL,Neutral,NL,Low,images/Chart1NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart1,76,39,62,84,53,D,#595959,#595959,#595959,#595959,#595959
27,V3,Chart10NH,Neutral,NH,High,images/Chart10NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart10,62,85,48,71,93,E,#595959,#595959,#595959,#595959,#595959
28,V3,Chart3NL,Neutral,NL,Low,images/Chart3NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart3,64,86,55,78,41,B,#595959,#595959,#595959,#595959,#595959
29,V3,Chart9NH,Neutral,NH,High,images/Chart9NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart9,92,61,84,47,70,A,#595959,#595959,#595959,#595959,#595959
30,V3,Chart4NL,Neutral,NL,Low,images/Chart4NL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart4,87,56,79,42,65,C,#595959,#595959,#595959,#595959,#595959
31,V3,Chart6NH,Neutral,NH,High,images/Chart6NH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart6,81,44,67,89,58,D,#595959,#595959,#595959,#595959,#595959
32,V4,Chart4RL,Random,RL,Low,images/Chart4RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart4,87,56,79,42,65,D,#595959,#FFC000,#595959,#00B0F0,#595959
33,V4,Chart9RH,Random,RH,High,images/Chart9RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart9,92,61,84,47,70,A,#00B0F0,#595959,#595959,#FFC000,#595959
34,V4,Chart8RL,Random,RL,Low,images/Chart8RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart8,69,66,89,83,46,E,#595959,#595959,#FFC000,#595959,#00B0F0
35,V4,Chart2RH,Random,RH,High,images/Chart2RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart2,40,63,85,54,77,C,#FFC000,#595959,#00B0F0,#595959,#595959
36,V4,Chart6RL,Random,RL,Low,images/Chart6RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart6,81,44,67,89,58,B,#595959,#00B0F0,#595959,#FFC000,#595959
37,V4,Chart7RH,Random,RH,High,images/Chart7RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart7,45,68,90,59,82,C,#FFC000,#595959,#00B0F0,#595959,#595959
38,V4,Chart10RL,Random,RL,Low,images/Chart10RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart10,62,85,48,71,93,C,#595959,#595959,#00B0F0,#595959,#FFC000
39,V4,Chart1RH,Random,RH,High,images/Chart1RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart1,76,39,62,84,53,D,#595959,#FFC000,#595959,#00B0F0,#595959
40,V4,Chart3RL,Random,RL,Low,images/Chart3RL.PNG,באיזו עמודה מופיע הערך הנמוך ביותר?,Chart3,64,86,55,78,41,E,#595959,#FFC000,#595959,#595959,#00B0F0
41,V4,Chart5RH,Random,RH,High,images/Chart5RH.PNG,באיזו עמודה מופיע הערך הגבוה ביותר?,Chart5,57,80,43,66,88,E,#595959,#595959,#FFC000,#595959,#00B0F0
